ID,Clade,Date,Country,Host,G,P,Clade_grouped,L
AF212302,,1999-12-08,Malaysia,human,1,1,Malaysia,1
AF376747,,2001-05-04,Malaysia,bat,1,1,Malaysia,0
AJ564621,,2003-05-30,Malaysia,swine,1,1,Malaysia,1
AJ564622,,2003-05-30,Malaysia,swine,1,1,Malaysia,1
AJ564623,,2003-05-30,Malaysia,swine,1,1,Malaysia,1
AJ627196,,2004-02-10,Malaysia,swine,1,1,Malaysia,1
AY029767,,2001-04-11,Malaysia,human,1,1,Malaysia,1
AY029768,,2001-04-11,Malaysia,human,1,1,Malaysia,1
AY988601,,2004-01-01,Bangladesh,human,1,1,Bangladesh,1
FJ513078,,2007-01-01,India,human,1,1,Bangladesh,1
FN869553,,2008-01-01,Malaysia,bat,1,1,Malaysia,1
HM545087,,2008-01-01,Malaysia,bat,0,1,Malaysia,0
JN808857,,2008-01-01,Bangladesh,human,1,1,Bangladesh,1
JN808864,,2010-01-01,Bangladesh,human,1,1,Bangladesh,1
KY425646,,1999-01-01,Malaysia,human,1,1,Malaysia,1
KY425655,,1999-01-01,Malaysia,human,1,1,Malaysia,1
MH396625,,2018-05-17,India,human,1,1,Bangladesh,1
MH523640,,2018-05-17,India,human,1,1,Bangladesh,1
MH523641,,2018-05-21,India,human,1,1,Bangladesh,1
MH523642,,2018-05-17,India,human,1,1,Bangladesh,1
MH891774,,2018-05-17,India,human,0,1,Bangladesh,0
MK336155,,2018-05-17,India,human,1,1,Bangladesh,1
MK336156,,2018-05-17,India,human,1,1,Bangladesh,1
MK575060,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575061,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575062,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575063,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575064,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575065,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575066,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575067,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575068,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575069,,2013-04-11,Bangladesh,bat,1,1,Bangladesh,1
MK575070,,2013-01-06,Bangladesh,bat,1,1,Bangladesh,1
MK673558,,1999-03-25,Malaysia,swine,1,1,Malaysia,1
MK673559,,1999-03-25,Malaysia,swine,1,1,Malaysia,1
MK673560,,1999-03-26,Malaysia,swine,1,1,Malaysia,1
MK673561,,1999-01-01,Malaysia,swine,1,1,Malaysia,1
MK673562,,1999-01-01,Malaysia,human,1,1,Malaysia,1
MK673563,,1999-04-03,Malaysia,dog,1,1,Malaysia,1
MK673564,B-1,2004-01-22,Bangladesh,human,1,1,Bangladesh,1
MK673565,B-1,2004-02-09,Bangladesh,human,1,1,Bangladesh,1
MK673566,B-1,2004-03-29,Bangladesh,human,1,1,Bangladesh,1
MK673567,B-1,2004-04-19,Bangladesh,human,1,1,Bangladesh,1
MK673568,B-1,2008-02-28,Bangladesh,human,1,1,Bangladesh,1
MK673570,B-2,2011-02-11,Bangladesh,human,1,1,Bangladesh,1
MK673571,B-1,2011-02-01,Bangladesh,human,1,1,Bangladesh,1
MK673572,B-1,2011-02-01,Bangladesh,human,1,1,Bangladesh,1
MK673573,B-1,2011-02-02,Bangladesh,human,1,1,Bangladesh,1
MK673574,B-1,2011-02-03,Bangladesh,human,1,1,Bangladesh,1
MK673575,B-2,2011-02-10,Bangladesh,human,1,1,Bangladesh,1
MK673576,B-2,2011-01-01,Bangladesh,human,1,1,Bangladesh,1
MK673577,B-1,2011-02-02,Bangladesh,human,1,1,Bangladesh,1
MK673578,B-2,2011-03-08,Bangladesh,human,1,1,Bangladesh,1
MK673579,B-2,2012-01-20,Bangladesh,human,1,1,Bangladesh,1
MK673580,B-2,2012-01-20,Bangladesh,human,1,1,Bangladesh,1
MK673581,B-2,2012-01-21,Bangladesh,human,1,1,Bangladesh,1
MK673582,B-2,2012-04-05,Bangladesh,human,1,1,Bangladesh,1
MK673583,B-2,2013-01-22,Bangladesh,human,1,1,Bangladesh,1
