ID,Clade,Date,Country,Host
AF212302,,1999-12-08,Malaysia,human
AF376747,,2001-05-04,Malaysia,bat
AJ564621,,2003-05-30,Malaysia,swine
AJ564622,,2003-05-30,Malaysia,swine
AJ564623,,2003-05-30,Malaysia,swine
AJ627196,,2004-02-10,Malaysia,swine
AY029767,,2001-04-11,Malaysia,nan
AY029768,,2001-04-11,Malaysia,nan
AY988601,,2004-01-01,Bangladesh,human
FJ513078,,2007-01-01,India,human
FN869553,,2008-01-01,Malaysia,bat
HM545087,,2008-01-01,Malaysia,bat
JN808857,,2008-01-01,Bangladesh,human
JN808864,,2010-01-01,Bangladesh,human
KY425646,,1999-01-01,Malaysia,human
KY425655,,1999-01-01,Malaysia,human
MH396625,,2018-05-17,India,human
MH523640,,2018-05-17,India,human
MH523641,,2018-05-21,India,human
MH523642,,2018-05-17,India,human
MH891774,,2018-05-17,India,human
MK336155,,2018-05-17,India,human
MK336156,,2018-05-17,India,human
MK575060,,2013-04-11,Bangladesh,bat
MK575061,,2013-04-11,Bangladesh,bat
MK575062,,2013-04-11,Bangladesh,bat
MK575063,,2013-04-11,Bangladesh,bat
MK575064,,2013-04-11,Bangladesh,bat
MK575065,,2013-04-11,Bangladesh,bat
MK575066,,2013-04-11,Bangladesh,bat
MK575067,,2013-04-11,Bangladesh,bat
MK575068,,2013-04-11,Bangladesh,bat
MK575069,,2013-04-11,Bangladesh,bat
MK575070,,2013-01-06,Bangladesh,bat
MK673558,M,1999-03-25,Malaysia,swine
MK673559,M,1999-03-25,Malaysia,swine
MK673560,M,1999-03-26,Malaysia,swine
MK673561,M,1999-01-01,Malaysia,swine
MK673562,M,1999-01-01,Malaysia,human
MK673563,M,1999-04-03,Malaysia,dog
MK673564,B-1,2004-01-22,Bangladesh,human
MK673565,B-1,2004-02-09,Bangladesh,human
MK673566,B-1,2004-03-29,Bangladesh,human
MK673567,B-1,2004-04-19,Bangladesh,human
MK673568,B-1,2008-02-28,Bangladesh,human
MK673570,B-2,2011-02-11,Bangladesh,human
MK673571,B-1,2011-02-01,Bangladesh,human
MK673572,B-1,2011-02-01,Bangladesh,human
MK673573,B-1,2011-02-02,Bangladesh,human
MK673574,B-1,2011-02-03,Bangladesh,human
MK673575,B-2,2011-02-10,Bangladesh,human
MK673576,B-2,2011-01-01,Bangladesh,human
MK673577,B-1,2011-02-02,Bangladesh,human
MK673578,B-2,2011-03-08,Bangladesh,human
MK673579,B-2,2012-01-20,Bangladesh,human
MK673580,B-2,2012-01-20,Bangladesh,human
MK673581,B-2,2012-01-21,Bangladesh,human
MK673582,B-2,2012-04-05,Bangladesh,human
MK673583,B-2,2013-01-22,Bangladesh,human
MK673584,B-1,2015-01-05,Bangladesh,human
MK673585,B-2,2015-03-18,Bangladesh,human
MK673586,B-2,2015-03-21,Bangladesh,human
MK673587,B-1,2015-01-19,Bangladesh,human
MK673588,B-2,2015-02-27,Bangladesh,human
MK673589,B-1,2014-02-06,Bangladesh,human
MK673590,B-1,2014-02-07,Bangladesh,human
MK673591,B-2,2014-02-04,Bangladesh,human
MK673592,B-2,2014-01-20,Bangladesh,human
MK801755,,2003-01-01,Cambodia,bat
MN549402,,2019-06-10,India,bat
MN549403,,2019-06-10,India,bat
MN549404,,2019-06-10,India,bat
MN549405,,2019-06-10,India,bat
MN549406,,2019-06-10,India,bat
MN549407,,2019-06-10,India,bat
MN549408,,2019-06-10,India,bat
MN549409,,2019-06-10,India,bat
MN549410,,2019-06-10,India,bat
MN549411,,2019-06-10,India,bat
MW535746,,2017-05-21,Thailand,bat
NC_002728,,1999-01-01,Malaysia,nan
AF238467,,2000-02-24,nan,nan
AY858111,,2004-12-15,Cambodia,bat
HM545086,,2008-01-01,Malaysia,bat
JF899340,,2010-01-01,India,bat
MH891777,,2018-05-17,India,human
